"Field Name","Region","Acres","County","Lat","Lng","Section","Township","Range","Legal Description (e.g. NW 1/4)"
"M-115 Fernando 392","North","392.9","McLeod","44.66161","-94.46751","","","",""
"M-149 Johnson 120","North","118.96","Renville","44.63539","-94.81319","","","",""
"M-149 South 80","North","70.25","Renville","44.63718","-94.81274","","","",""
"M-177 Frank Quarter","North","154.03","Renville","44.64361","-95.00489","","","",""
"M-224 Wallenta Quarter","North","153.5","Kandiyohi","44.91414","-94.83919","","","",""
"M-248 Roske 283","North","273.18","Renville","44.74535","-94.97622","","","",""
"M-249 11 acre Triangle","North","10.16","Renville","44.73084","-94.97613","","","",""
"M-249 Roskie 206 acre","North","206.13","Renville","44.73084","-94.98041","","","",""
"m-249 Roskie Quarter","North","154.11","Renville","44.73798","-94.97588","","","",""
"M-250 South Farm 224","North","223.39","Renville","44.72810","-94.97582","","","",""
"M-78 Hanson Silo East","North","476.22","Kandiyohi","45.01576","-94.90018","","","",""
"M-78 Hanson Silo West Western Cape","North","343.65","Kandiyohi","45.02470","-94.90512","","","",""
"M-88 Hospital Farm 120","North","118.88","Renville","44.76704","-94.97601","","","",""
"M-93 Wohnoutka Quarter","North","153.99","Renville","44.73895","-94.87446","","","",""
"M-94 Ryans 80 Greenslit","North","77.6","Renville","44.64399","-94.95033","","","",""
"M-95 Schweinfurter North Qtr","North","155.27","Renville","44.59991","-95.06572","","","",""
"M-95 Schweinfurter South Qtr","North","150.47","Renville","44.59971","-95.06573","","","",""
"Blue Earth Carlson 210","South","208.92","Faribault","43.63737","-94.12509","","","",""
"Borstad 19","South","125.76","Blue Earth","43.87750","-94.36392","","","",""
"Brownlee 30","South","28.65","Martin","43.81894","-94.53231","","","",""
"Butterfield SLM Quarter","South","147.89","Watonwan","43.97859","-94.75927","","","",""
"Dougs Qtr","South","155.14","Watonwan","43.86265","-94.66956","","","",""
"Fancher 110","South","108.84","Martin","43.84798","-94.52927","","","",""
"Fancher 240","South","210.08","Martin","43.84802","-94.54250","","","",""
"Fancher North-North 131","South","128.28","Watonwan","43.85536","-94.51476","","","",""
"Fancher North-South 134","South","132.11","Watonwan","43.84826","-94.53182","","","",""
"Fancher Southeast 47","South","46.69","Martin","43.84015","-94.52258","","","",""
"Fancher SW West 44","South","42.12","Martin","43.84048","-94.53440","","","",""
"Fraser  15","South","null","Martin","43.72261","-94.53230","","","",""
"Gilberts","South","151","Watonwan","43.84825","-94.53184","","","",""
"Greiner_Antrim Sec 20","South","78.36","Watonwan","43.88427","-94.44931","","","",""
"Halverson Quarter","South","149.47","Martin","43.81807","-94.38814","","","",""
"Hartman","South","73.6","Martin","43.80052","-94.54788","","","",""
"Hatch North","South","106.04","Martin","43.83281","-94.53236","","","",""
"Hatch South","South","34.49","Martin","43.82572","-94.53254","","","",""
"Home","South","215","Martin","43.78353","-94.57236","","","",""
"Keithahn 190","South","187.88","Martin","43.79783","-94.67457","","","",""
"Krumie","South","111.48","Watonwan","43.87694","-94.50910","","","",""
"Lowells","South","149.41","Martin","43.78307","-94.63279","","","",""
"Lowells 40_Galena 40","South","39.42","Martin","43.77948","-94.63469","","","",""
"Lyles 80_LG 80","South","75.77","Martin","43.79703","-94.56263","","","",""
"M-107 Odin North","South","111.89","Watonwan","43.90677","-94.81923","","","",""
"M-110 Fairmont SE 160","South","156.93","Martin","43.62521","-94.44750","","","",""
"M-232 Odin South East","South","140.91","Watonwan","43.85702","-94.72973","","","",""
"M-232 Odin South West","South","192.9","Watonwan","43.85549","-94.74913","","","",""
"M-244 Jackson I-90 North Qtr","South","154.73","Jackson","43.65996","-94.93743","","","",""
"M-245 AGCO Jackson Embretson","South","185.91","Jackson","43.64373","-94.95429","","","",""
"M-256 Iverson Jackson Quarter","South","147.73","Jackson","43.67423","-94.92442","","","",""
"Mau   230","South","null","Martin","43.78987","-94.55756","","","",""
"Niss  40","South","null","Martin","43.76946","-94.51221","","","",""
"Ole Johnson North 80","South","74.6","Martin","43.80450","-94.57242","","","",""
"Peterson Niss","South","234.4","Martin","43.78955","-94.55099","","","",""
"Posch 150","South","149.15","Watonwan","43.94272","-94.70635","","","",""
"Pruess 140","South","137.11","Martin","43.79649","-94.44568","","","",""
"Pruess 80","South","76.39","Blue Earth","43.91679","-94.30924","","","",""
"Rollof 80","South","75.07","Martin","43.77498","-94.49741","","","",""
"Schwanz 80","South","77.91","Watonwan","43.87694","-94.51430","","","",""
"Stradtman Home","South","172.03","Watonwan","43.86274","-94.57744","","","",""
"Stradtman Richards","South","129.97","Watonwan","43.86979","-94.48904","","","",""
"Stradtman Summit North SB25","South","149.61","Watonwan","43.86869","-94.48937","","","",""
"Summit South     South Branch 36","South","151.47","Watonwan","43.86118","-94.49645","","","",""
"Uncle Johns 80_UJ 80","South","71.68","Martin","43.76830","-94.59232","","","",""
"Van De Riet 60","South","60.57","Watonwan","43.93129","-94.56550","","","",""
"Van De Riet Quarter","South","136.86","Watonwan","43.92029","-94.57411","","","",""
"Wegner","South","221.85","Martin","43.80419","-94.54500","","","",""
"Weidenbach 44 and 3","South","46.92","Watonwan","43.86274","-94.58956","","","",""
"Weidenbach 80","South","76.06","Watonwan","43.86276","-94.59960","","","",""
"Williamson 65","South","64.07","Martin","43.79009","-94.58254","","","",""
"Wohlers 130","South","130.97","Martin","43.77534","-94.58230","","","",""
"M-258 Rahn 40","null","36.99","Watonwan","43.86266","-94.77861","","","",""
"M-258 Rahn 80","null","68.12","Watonwan","43.86316","-94.78175","","","",""